ID,ID_Sesion,ID_Conexión_unico,Usuario,IP_NAS_AP,Tipo__conexión,Inicio_de_Conexión_Dia,Inicio_de_Conexión_Hora,FIN_de_Conexión_Dia,FIN_de_Conexión_Hora,Session_Time,Input_Octects,Output_Octects,MAC_AP,MAC_Cliente,Razon_de_Terminación_de_Sesión,,
603877,5AA0184E-000001CA,d6104707df0cd315,invitado-deca,192.168.247.11,Wireless-802.11,2019-02-07,19:46:08,2019-03-13,11:27:57,25,39517,505219,DC-9F-DB-12-F3-EA:HCDD,DC-BF-E9-1A-B5-D0,User-Request,,
802225,00000019-00000379,69d4677fa7a8fe23,invitado-deca,192.168.247.18,Wireless-802.11,2019-08-21,12:46:57,2020-02-19,19:42:50,4,0,0,04-18-D6-C2-0A-F7:HCDD,A8-51-5B-68-5D-F6,User-Request,,
625577,5AA0184E-000002A4,eddcdc34589f2d81,invitado-deca,192.168.247.12,Wireless-802.11,2019-02-26,10:14:57,2019-02-26,10:15:34,36,3084,1344,DC-9F-DB-12-F4-75:HCDD,E0-98-61-F5-0B-1F,User-Request,,
664734,00000019-0000011A,a8ec39615357630e,invitado-deca,192.168.247.18,Wireless-802.11,2019-04-03,10:19:16,2020-02-05,13:58:31,32,0,0,04-18-D6-C1-0A-F7:HCDD,30-4B-07-8A-55-EA,User-Request,,
605055,5AA0184E-0000000C,f1ef49cca680bbd8,invitado-deca,192.168.247.11,Wireless-802.11,2019-02-11,07:10:06,2019-03-14,07:36:44,202,1170,495,DC-9F-DB-12-F3-EA:HCDD,FC-42-03-A6-44-C4,User-Request,,
758103,00000019-0000005B,85ff9f1011051287,invitado-deca,192.168.247.20,Wireless-802.11,2019-06-27,13:52:34,2020-10-08,10:54:14,306,8990,14372,04-18-D6-82-C5-46:HCDD,D0-77-14-E7-5C-F0,User-Request,,
616445,00000019-0000027E,6c8d5e95dc36c133,JTaniasdu,192.168.247.19,Wireless-802.11,2019-02-19,12:27:06,2019-02-19,12:27:52,46,2554,334,04-18-D6-22-8D-DF:HCDD,DC-41-5F-17-EB-7A,User-Request,,
607270,5AA0184E-000001E7,6dc4d46e849bd70c,invitado-deca,192.168.247.11,Wireless-802.11,2019-02-12,10:13:18,2019-03-06,11:34:03,3041,544518,1881843,DC-9F-DB-12-F3-EA:HCDD,FC-42-03-A6-44-C4,,,
664351,00000019-00000004,5120539c8a9a8c0b,invitado-deca,192.168.247.19,Wireless-802.11,2019-04-03,08:22:03,2020-10-13,09:18:03,158,0,0,04-18-D6-22-8D-DF:HCDD,B4-BF-F6-DD-78-C3,User-Request,,
628255,00000019-000000F1,3f3b2fb26321a8a2,invitado-deca,192.168.247.18,Wireless-802.11,2019-02-27,11:56:30,2020-02-04,19:49:47,21,2754,2432,04-18-D6-C1-0A-F7:HCDD,30-4B-07-8A-55-EA,User-Request,,
660324,5A9C6644-00000308,024e31f0ae19df90,rezle-,192.168.247.15,Wireless-802.11,2019-03-28,11:43:27,2019-03-28,11:49:26,359,16893,23855,04-18-D6-22-8E-6D:HCDD,A4-07-B6-CC-4F-5C,User-Request,,
645669,00000019-0000008C,b3f00a2124a5b93b,lalbul-crndu,192.168.247.16,Wireless-802.11,2019-03-15,11:44:09,2019-05-02,09:11:17,65,0,0,04-18-D6-22-9B-4C:HCDD,2C-BE-08-DE-F4-82,User-Request,,
609962,5AA0184E-00000457,de7c3441d8f626cb,invitado-deca,192.168.247.11,Wireless-802.11,2019-02-13,11:53:13,2019-03-07,16:59:13,18,16157,,33662,DC-9F-DB-12-F3-EA:HCDD,3C-2E-FF-A7-E9-80,User-Request,
752857,5A83437B-000003AF,420bb1a47c05dacd,invitado-deca,192.168.247.18,Wireless-802.11,2019-06-24,12:23:47,2019-06-24,12:24:16,29,0,0,04-18-D6-C2-0A-F7:HCDD,A8-51-5B-68-5D-F6,,,
